Schulname 	Sozialindex alt 	Sozialindex neu
Adolph-Diesterweg-Schule 	2 	2
Adolph-Schönfelder-Schule 	3 	4
ahfs Christliche Stadtteilschule Bergedorf 	nv 	4
ahfs Christliches Gymnasium Uhlenhorst 	nv 	4
Albert-Schweitzer-Gymnasium 	6 	5
Albert-Schweitzer-Schule 	6 	5
Albrecht-Thaer-Gymnasium 	5 	5
Alexander-von-Humboldt-Gymnasium 	5 	4
Anton-Rée-Schule Allermöhe 	3 	2
Aueschule Finkenwerder 	3 	3
August-Hermann-Francke-Schule Bahrenfeld 	nv 	4
August-Hermann-Francke-Schule Bergedorf 	nv 	4
August-Hermann-Francke-Schule Berne 	nv 	5
August-Hermann-Francke-Schule Farmsen 	5 	4
August-Hermann-Francke-Schule Uhlenhorst 	nv 	5
Brüder-Grimm-Schule 	2 	2
Bugenhagen-Schule Alsterdorf (Grundschule) 	nv 	5
Bugenhagen-Schule Alsterdorf (Stadtteilschule) 	nv 	5
Bugenhagen-Schule Groß Flottbek 	nv 	5
Bugenhagen-Schule Hamm, Evangelische Grundschule Paulus 	nv 	5
Bugenhagen-Schule im Hessepark (Grundschule) 	nv 	5
Bugenhagen-Schule im Hessepark (Stadtteilschule) 	nv 	5
Bugenhagen-Schule Ottensen 	nv 	5
Carl-Cohn-Schule 	4 	5
Carl-Götze-Schule 	5 	5
Carl-von-Ossietzky-Gymnasium 	5 	5
Charlotte-Paulsen-Gymnasium 	5 	4
Christianeum 	6 	6
Clara-Grunwald-Schule 	2 	1
Demokratische Schule FLeKS 	nv 	2
Deutsch-Französisches Gymnasium 	6 	5
Domschule St. Marien (Grundschule) 	3 	3
Domschule St. Marien (Stadtteilschule) 	3 	3
Elbinselschule 	1 	2
Elbkinder Grundschule 	6 	6
Emil Krause Schule 	2 	2
Emilie-Wüstenfeld-Gymnasium 	5 	5
Erich Kästner Schule 	3 	3
Franz-von-Assisi-Schule 	3 	3
Fridtjof-Nansen-Schule 	3 	2
Friedrich-Ebert-Gymnasium 	5 	3
Fritz-Köhne-Schule 	1 	1
Fritz-Schumacher-Schule 	4 	4
Ganztagsgrundschule Am Johannisland 	2 	2
Ganztagsgrundschule Sternschanze 	2 	4
Ganztagsschule an der Elbe 	2 	2
Ganztagsschule Fährstraße 	1 	1
Gelehrtenschule des Johanneums 	6 	6
Georg-Kerschensteiner-Grundschule 	1 	2
Geschwister-Scholl-Stadtteilschule 	1 	1
Goethe-Gymnasium 	4 	3

-- 1 of 7 --

Goethe-Schule-Harburg 	4 	3
Goldbek-Schule 	4 	5
Gorch-Fock-Schule 	6 	6
Gretel-Bergmann-Schule 	2 	2
Grund- und Stadtteilschule Alter Teichweg 	2 	2
Grund- und Stadtteilschule Altrahlstedt 	3 	3
Grundschule Am Heidberg 	5 	4
Grundschule am Kiefernberg 	3 	3
Grundschule An der Haake 	2 	2
Grundschule Archenholzstraße 	2 	1
Grundschule Arnkielstraße 	2 	4
Grundschule Ballerstaedtweg 	3 	4
Grundschule Bindfeldweg 	5 	5
Grundschule Bramfeld 	3 	2
Grundschule Eckerkoppel 	4 	4
Grundschule Edwin-Scharff-Ring 	2 	1
Grundschule Franzosenkoppel 	3 	2
Grundschule Goosacker 	4 	3
Grundschule Groß Flottbek 	5 	5
Grundschule Großlohering 	2 	1
Grundschule Hasenweg 	5 	6
Grundschule Heidhorst 	4 	4
Grundschule Hoheluft 	5 	6
Grundschule Horn 	2 	2
Grundschule Islandstraße 	4 	5
Grundschule Karlshöhe mit Zweigstelle 	5 	5
Grundschule Kirchdorf 	1 	2
Grundschule Lohkampstraße 	2 	3
Grundschule Luruper Hauptstraße 	3 	2
Grundschule Marienthal 	4 	3
Grundschule Mendelstraße 	2 	2
Grundschule Mümmelmannsberg 	1 	1
Grundschule Neugraben - Offene Ganztagsgrundschule (GBS) 	2 	3
Grundschule Neurahlstedt 	4 	3
Grundschule Nydamer Weg 	4 	5
Grundschule Osterbrook 	1 	1
Grundschule Poppenbüttel 	5 	5
Grundschule Rahewinkel 	1 	1
Grundschule Sachsenweg 	5 	5
Grundschule Sinstorfer Weg 	3 	4
Grundschule St. Nikolai 	6 	6
Grundschule St.Pauli 	2 	2
Grundschule Thadenstraße 	3 	4
Grundschule Tonndorf 	4 	3
Gymnasium Allee 	4 	4
Gymnasium Allermöhe 	4 	3
Gymnasium Alstertal 	5 	5
Gymnasium Altona 	5 	5
Gymnasium Blankenese 	6 	6
Gymnasium Bondenwald 	6 	5
Gymnasium Bornbrook 	4 	4
Gymnasium Buckhorn 	6 	6

-- 2 of 7 --

Gymnasium Corveystraße 	5 	6
Gymnasium Dörpsweg 	5 	4
Gymnasium Eppendorf 	6 	6
Gymnasium Farmsen 	4 	4
Gymnasium Finkenwerder 	5 	4
Gymnasium Grootmoor 	6 	6
Gymnasium Heidberg 	5 	5
Gymnasium Hochrad 	6 	6
Gymnasium Hoheluft 	5 	5
Gymnasium Hummelsbüttel 	4 	5
Gymnasium Kaiser-Friedrich-Ufer 	5 	5
Gymnasium Klosterschule 	5 	4
Gymnasium Lerchenfeld 	4 	5
Gymnasium Lohbrügge 	5 	4
Gymnasium Marienthal 	3 	2
Gymnasium Meiendorf 	5 	5
Gymnasium Oberalster 	5 	6
Gymnasium Ohlstedt 	6 	6
Gymnasium Ohmoor 	6 	5
Gymnasium Oldenfelde 	5 	4
Gymnasium Osterbek 	5 	4
Gymnasium Othmarschen 	6 	6
Gymnasium Rahlstedt 	5 	4
Gymnasium Rissen 	6 	5
Gymnasium Süderelbe 	5 	4
Gyula Trebitsch Schule Tonndorf 	4 	3
Hansa-Gymnasium Bergedorf 	5 	5
Heilwig-Gymnasium 	5 	6
Heinrich-Heine-Gymnasium 	6 	6
Heinrich-Hertz-Schule 	4 	5
Heinrich-Wolgast-Schule 	3 	3
